Expression	Value	Location	Type	
ab	Error (col 1): Unknown or ambiguous symbol. ab			
testInput_f32_10khz	Error (col 1): Unknown or ambiguous symbol. testInput_f32_10khz			
[426]	3.17'409'359E-7	0x2000'7d78	float32_t	
[427]	4.80'188'419E-7	0x2000'7d7c	float32_t	
[428]	4.16'917'089E-7	0x2000'7d80	float32_t	
[429]	5.63'654'282E-7	0x2000'7d84	float32_t	
[430]	1.74'568'512E-7	0x2000'7d88	float32_t	
[431]	1.09'074'129E-7	0x2000'7d8c	float32_t	
[432]	1.89'832'676E-7	0x2000'7d90	float32_t	
[433]	1.12'739'137E-7	0x2000'7d94	float32_t	
[434]	9.62'269'482E-8	0x2000'7d98	float32_t	
[435]	9.7'220'628E-8	0x2000'7d9c	float32_t	
[436]	6.87'015'742E-8	0x2000'7da0	float32_t	
[437]	2.57'869'516E-7	0x2000'7da4	float32_t	
[438]	1.54'395'195E-7	0x2000'7da8	float32_t	
[439]	1.27'423'135E-7	0x2000'7dac	float32_t	
[440]	3.26'543'414E-7	0x2000'7db0	float32_t	
[441]	8.11'197'225E-8	0x2000'7db4	float32_t	
[442]	2.05'770'817E-7	0x2000'7db8	float32_t	
[443]	1.43'966'204E-7	0x2000'7dbc	float32_t	
[444]	2.54'622'165E-7	0x2000'7dc0	float32_t	
[445]	1.70'657'273E-7	0x2000'7dc4	float32_t	
[446]	1.90'050'372E-7	0x2000'7dc8	float32_t	
[447]	2.26'730'222E-7	0x2000'7dcc	float32_t	
[448]	1.15'448'259E-7	0x2000'7dd0	float32_t	
[449]	3.54'313'528E-7	0x2000'7dd4	float32_t	
